,UNICEF GLOBAL DATABASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Mortality Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional and global under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates generated by the UN Inter-agency Group for Child Mortality Estimation (UN IGME) in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded from http://data.unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: 19 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of under-five mortality rate by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Lower,52.984506,50.736562,48.434829,46.146125,43.88717,41.682596,39.527643,37.471687,35.938121,33.941367,31.948132,30.318156,28.813353,27.416636,26.132767,24.953552,23.871807,22.902118,22.021425,21.222996,23.739908,19.784606,19.140011,18.508436,17.897622,17.380426,17.287914,16.352673,15.707991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Median,54.572665,52.197633,49.821692,47.4454,45.106255,42.820959,40.617915,38.493881,36.887339,34.803159,32.754074,31.078583,29.522717,28.072542,26.729286,25.49524,24.376322,23.362241,22.449157,21.623909,24.411971,20.171534,19.545741,18.937915,18.350034,17.881499,17.875238,16.994213,16.441889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Upper,56.284792,53.793863,51.322315,48.870002,46.448565,44.090459,41.802656,39.593468,37.921215,35.766997,33.65521,31.925422,30.313796,28.816675,27.414751,26.137719,24.966385,23.905371,22.963122,22.126206,25.239369,20.69195,20.088575,19.530729,18.999125,18.604926,18.715426,17.965723,17.593714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Lower,10.791227,10.448148,10.094584,9.741117,9.401024,9.093187,8.826959,8.59981,8.414247,8.266294,8.142553,8.040712,7.948444,7.868641,7.786434,7.695379,7.596084,7.47949,7.352374,7.214536,7.075444,6.94401,6.825221,6.72433,6.632598,6.534243,6.413918,6.25721,6.026651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Median,10.970884,10.617104,10.251548,9.892491,9.551763,9.242412,8.973935,8.744525,8.55622,8.402683,8.273906,8.164856,8.071758,7.987421,7.905067,7.816062,7.715222,7.59816,7.466813,7.326368,7.188069,7.057381,6.939027,6.834142,6.7436,6.663674,6.586545,6.499958,6.392579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Upper,11.16161,10.794287,10.420046,10.047645,9.699097,9.388172,9.113871,8.88492,8.691604,8.53597,8.404851,8.293365,8.196941,8.111613,8.032003,7.943331,7.839078,7.71977,7.58772,7.444263,7.302318,7.169381,7.051671,6.944775,6.858375,6.796803,6.76687,6.76114,6.790124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Lower,30.017399,29.398423,28.897367,28.367375,27.65925,26.763383,25.716765,24.56775,23.340598,22.077764,20.808122,19.567345,18.359456,17.213237,16.155227,15.183878,14.295025,13.504822,12.816836,12.21259,11.683054,11.215134,10.77687,10.348571,9.920298,9.466501,9.009837,8.561191,8.146361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Median,30.810168,30.173028,29.66668,29.12088,28.402034,27.499323,26.441038,25.273297,24.02306,22.736718,21.448662,20.189097,18.986613,17.852917,16.801624,15.836228,14.960637,14.169183,13.464725,12.84233,12.295406,11.801542,11.337667,10.88336,10.428932,9.973255,9.528044,9.112249,8.722701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Upper,31.693109,31.039294,30.537615,29.984676,29.270352,28.375937,27.311048,26.114854,24.851298,23.54374,22.232919,20.983173,19.781662,18.664121,17.626004,16.669256,15.804333,15.024962,14.328522,13.683112,13.109353,12.597369,12.118307,11.661133,11.205969,10.774862,10.375716,10.020579,9.715025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Lower,45.044444,44.713959,44.650224,44.566998,44.122862,43.280876,42.013065,40.418127,38.559404,36.518025,34.376394,32.211071,30.074835,28.018487,26.098218,24.326687,22.686239,21.218827,19.934658,18.806683,17.812963,16.945947,16.142507,15.362069,14.595626,13.811777,13.032737,12.303446,11.640894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
